Company Name,Job Position,Category,Seniority,Salary,Posting Requirements,Job Details
 Digital Hub Warsaw at Bayer , Senior/Expert Data Engineer ," Data ,  Python "," Senior, Expert ", 20 000  – 28 000 ," Python ,  PostgreSQL ,  MySQL ,  Oracle ,  GCP ,  AWS ,  English (B2)"," Start ASAP ,  Permanent contract ,  Remote days: flexible in a week ,  Flexible hours "
 Nordcloud , Data Engineer ," Data ,  Azure "," Mid, Senior ", 20 000  – 32 000 ," AWS ,  Python ,  Data engineering ,  SQL ,  ETL ,  Spark ,  Azure ,  GCP ,  Azure Synapse ,  ADF ,  AWS Glue ,  Big Data ,  Hadoop ,  HDFS ,  Hive ,  Vault ,  Presto ,  English "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours ,  Some travel involved "
 Astrokyon , Data Scientist ," Data ,  Python "," Mid, Senior ", 12 000  – 21 000 ," Python ,  Machine Learning ,  Polish "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote "
 Clouds on Mars Sp. z o.o. , Remote BI Consultant , Business Intelligence , Mid , 20 160  – 28 560 ," Power BI ,  Azure Databricks ,  Analysis ,  Azure ,  Databricks ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 BNY Mellon ," Spec. Model Development, Risk Modelling  "," Data ,  Python ", Mid , 11 000  – 20 333 ," Python ,  Good programming skills ,  financial statistics ,  probability theory ,  finance ,  English "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote for 2 days a week ,  Flexible hours "
 Proxet , DB integration Engineer ," Data ,  SQL "," Senior, Expert ", 23 785  – 28 110 ," SQL ,  ETL ,  T-SQL ,  SQL Server ,  Azure SQL ,  SSIS ,  English (B1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote for 4 days a week ,  Flexible hours ,  Mainly new features "
 Allegro , Senior Big Data Engineer - Data & AI ," Data ,  Scala ", Senior , 16 100  – 23 200 ," Scala ,  Python ,  TDD ,  CI/CD ,  Unix ,  Linux ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote days: flexible in a week ,  Flexible hours ,  No travel involved "
 hubQuest , Senior Business Analyst , Business Analysis , Senior , 20 000  – 27 000 ," Business analysis ,  Business Intelligence ,  English (C1),  Polish (C1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours ,  No travel involved "
 hubQuest , Cloud Data Engineer ," Data ,  Python ", Mid , 20 000  – 28 500 ," Python ,  Azure ,  Terraform ,  AWS ,  AWS Lambda ,  Redshift ,  Glue ,  Kinesis ,  AWS S3 ,  Apache Aurora ,  Spark ,  PySpark ,  SQL ,  English (C1),  Polish (C1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours ,  No travel involved ,  Mainly new features "
 GFT Poland , Murex Business Analyst , Business Analysis ," Senior, Expert ", 25 200  – 36 120 ," Murex ,  Kanban ,  Configurations of views and reports ,  Analysis of incidents ,  Resolution of incidents ,  P&L and sensitivitie ,  On-call ,  English "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote for 1 day a week "
 ERGO Technology & Services , Senior Data Engineer (Python/Azure) ," Data ,  Python ", Expert , 18 000  – 23 000 ," Python ,  Azure ,  Databricks ,  PySpark ,  English (B2),  Polish (C1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote days: flexible in a week ,  Flexible hours ,  Some travel involved ,  Mainly new features "
 iteo S.A. , Business Analyst , Business Analysis ," Mid, Senior ", 10 500  – 21 000 ," Business Analyst ,  UML ,  BPMN ,  Software Development Life Cycle ,  Polish (NATIVE),  English (C1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote days: flexible in a week ,  Some travel involved "
 Divante S.A. , Senior Business Analyst  , Business Analysis , Senior , 13 440  – 21 840 ," ecommerce ,  agile ,  scrum ,  English ,  Polish "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours ,  No travel involved "
 dotLinkers , Cloud/Platform Engineer with AWS ," Data ,  AWS "," Mid, Senior ", 26 544  – 39 333 ," AWS ,  Cloud platform ,  Infrastructure as Code ,  Python ,  DevOps ,  Docker ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote "
 N-iX , Lead Business Analyst of Solution Group , Business Analysis , Senior , 25 083  – 29 407 ," Scrum, SAFe or LeSS  ,  User stories ,  Strong communication skills ,  Audit ,  UML ,  BPMN ,  Business analysis ,  English (C1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours ,  Some travel involved "
 Link Group , Remote Database Engineer - PostgreSQL ," Data ,  SQL "," Mid, Senior ", 21 840  – 30 240 ," PostgreSQL ,  SQL ,  Terraform ,  Azure ,  JSON ,  PostGIS ,  English (C1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 Infolet Sp. z o.o , Data Engineer ," Data ,  AWS "," Mid, Senior ", 33 600  – 40 300 ," AWS ,  Kafka ,  Apache Spark ,  AWS S3 ,  PostgreSQL ,  Druid ,  Apache ZooKeeper ,  Python ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote days: flexible in a week ,  Flexible hours ,  No travel involved ,  Relocation package: 4500 PLN ,  Mainly new features "
 INUITS , Date Engineer ," Data ,  Python "," Mid, Senior ", 16 940  – 21 780 ," Python ,  Spark ,  AWS ,  Azure ,  SQL ,  Kafka ,  Hadoop ,  Apache Airflow ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 Sunscrapers , Data Analyst (part-time) , Business Analysis ," Mid, Senior ", 16 800  – 28 560 ," Google Analytics ,  Google Tag Manager ,  Facebook Pixel ,  Mixpanel ,  Google Ads ,  LinkedIn Ads ,  Data visualization ,  HubSpot ,  English ,  Polish "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Part time work: 40% ,  Fully remote "
 Nordea Bank ABP , Senior IT Analyst to DTA , Business Analysis , Mid , 15 000  – 20 000 ," Oracle ,  SQL ,  Agile ,  SAFe ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote for 2 days a week "
 GFT Poland , Data Engineer with Scala ," Data ,  Scala "," Mid, Senior ", 18 480  – 26 880 ," Scala ,  Spark ,  SQL ,  Python ,  Big data ,  Data management ,  English "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Mainly new features "
 STS S. A. , Analityk systemów , Business Analysis , Mid , 13 000  – 17 000 ," SQL ,  Polish "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote for 2 days a week "
 FIS Technology Services (Poland) Sp. z o.o. , Operations Software Analyst with German , Business Analysis , Mid , 13 000  – 15 000 ," SQL ,  German ,  English "," Start ASAP ,  Permanent contract ,  Remote days: flexible in a week ,  Flexible hours "
 Harvey Nash Technology , Senior Data Engineer ," Data ,  SQL "," Mid, Senior ", 18 000  – 24 000 ," SQL ,  PowerBI ,  Power BI ,  ETL ,  English (C1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours ,  Umowa o pracę ,  Zatrudnienie bezpośrednie ,  Praca zdalna "
 Bayer Sp. z o.o. , Data Architect Supply Chain Analytics , Business Analysis ," Mid, Senior ", 16 000  – 23 000 ," Azure Data Lake ,  Azure Synapse ,  CRM ,  Azure Data ,  Databricks ,  Snowflake ,  SQL ,  Python ,  English (C1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote days: flexible in a week ,  Flexible hours "
 HSBC Technology Poland , BI & Visualisation Development Manager , Business Intelligence ," Mid, Senior ", 14 000  – 18 000 ," SQL ,  Qlik ,  Tableau ,  PowerBI ,  Agile ,  English (C1)"," Online recruitment ,  Start on 2023-04-01 ,  Permanent contract ,  Fully remote ,  Flexible hours "
 itertatec sp. z o.o. , Business Analyst / PO proxy with German , Business Analysis ," Mid, Senior ", 16 500  – 30 000 ," Business analysis ,  Jira ,  German (C1),  Polish (B2),  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote for 3 days a week ,  Flexible hours ,  Some travel involved "
 Paymentop ,  Risk Analyst (AML) , Business Analysis , Senior , 5 621  – 9 370 ," Audits ,  Audit ,  AML ,   CTF ,  ABC ,  English (C1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Fixed working hours "
 ClearScale , Remote Big Data Tech Lead ," Data ,  Spark "," Senior, Expert ", 30 408  – 37 632 ," Spark ,  AWS ,  Kafka ,  Java ,  Python ,  SQL ,  Amazon EMR ,  Glue ,  Athena ,  Redshift ,  Scala ,  Hadoop ,  Airflow ,  Kinesis ,  Flink ,  Spark Streaming ,  IaaC ,  AWS CDK ,  Terraform ,  AWS CloudFormation ,  English "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  No travel involved ,  Mainly new features "
 Nordea Bank ABP , Data/IT Analyst , Business Analysis , Mid , 9 000  – 13 000 ," SQL ,  SQL Queries ,  Jira ,  Confluence ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote for 2 days a week "
 Predica Sp. z o.o. , Apps Portfolio Lead , Business Analysis , Senior , 22 680  – 32 256 ," DevOps ,  Azure ,  Portfolio management ,  Apps ,  English "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours ,  Educational budget: 8000 PLN ,  Hardware budget: 1500 PLN "
 MPK PURE HOME SP. Z O.O. , Power BI Developer / Programista BI , Business Intelligence ," Senior, Expert ", 10 000  – 18 000 ," Excel ,  Power BI ,  English (B2),  Polish (C1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours ,  No travel involved "
 Webellian Sp.z.o.o , Business Analyst , Business Analysis ," Senior, Expert ", 17 000  – 20 000 ," SQL ,  MicroStrategy ,  Agile ,  Jira ,  English (C1),  Polish (NATIVE),  French (B1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote for 2 days a week ,  Some travel involved "
 Entire M Sp. z o.o. , Big Data Specialist , Business Intelligence , Senior , 12 000  – 19 000 ," MS SQL Server ,  T-SQL ,  Power BI ,  ETL ,  DAX ,  AWS ,  Git ,  Azure ,  Polish (NATIVE),  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote days: flexible in a week ,  Flexible hours "
 Entire M Sp. z o.o. , Data Team Leader ," Data ,  SQL ", Expert , 15 000  – 20 000 ," Data science ,  Data modeling ,  Data engineering ,  Machnine Learning ,  Data analysis ,  Statistics ,  SQL ,  AI ,  R ,  Python ,  Azure ,  AWS ,  CI/CD ,  Docker ,  IoT ,  Polish (NATIVE),  English (B2)"," Start ASAP ,  Permanent contract ,  Remote days: flexible in a week ,  Flexible hours ,  Some travel involved "
 GFT Poland , Middleware Business Analyst , Business Analysis ," Senior, Expert ", 25 200  – 36 120 ," Resolution of incidents ,  Analysis of incidents ,  Bank's Systems architecture ,  Financial products ,  Murex ,  XML ,  JSON ,  ALM testing ,  English "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote for 3 days a week "
 ASTEK Polska , Senior Data Scientist ," Data ,  Python ", Senior , 18 900  – 23 100 ," Python ,  Azure Cloud ,  Linux ,  Bash ,  Signal processing ,  Degree ,  Polish ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours ,  No travel involved "
 Idego Group Sp. z o.o. , Data Quality Tester , Business Intelligence ," Mid, Senior ", 20 000  – 25 000 ," SQL ,  Azure/AWS ,  Snowflake ,  Power BI ,  English (C1)"," Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 Lingaro , Azure Data Engineer , Business Intelligence ," Mid, Senior ", 23 520  – 28 560 ," SQL ,  ETL ,  Azure ,  Azure Data Factory ,  Python ,  Spark ,  Data engineering ,  DWH ,  Azure DataLake ,  Azure Databricks ,  Agile ,  Communication Skills ,  Team player  ,  Proactivity ,  Problem solving ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours ,  No travel involved "
 Sunscrapers , Senior Data Scientist ," Data ,  Python ", Senior , 30 000  – 34 000 ," Python ,  SQL ,  DevOps ,  Snowflake ,  AWS ,  AWS EC2 ,  AWS S3 ,  ECS ,  AWS ECS ,  Amazon EKS ,  IAM ,  Athena ,  Networking ,  Linux ,  Docker ,  Kubernetes ,  pandas ,  NumPy ,  Matplotlib ,  English ,  Polish "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 GFT Poland , Data Scientist with Azure ," Data ,  Azure "," Senior, Expert ", 25 200  – 36 120 ," Python ,  Scikit-learn  ,  Machnine Learning ,  Azure ML ,  SQL ,  Agile ,  Azure ,  English "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Some travel involved ,  Mainly new features "
 Lingaro , Azure Tech Lead , Business Intelligence , Senior , 26 880  – 31 920 ," Azure ,  Data Engineering ,  SQL ,  ETL ,  Python ,  Azure Data Factory ,  PySpark ,  Azure Databricks ,  ADLS ,  Azure Synapse ,  DWH ,  CI/CD ,  Cloud environment ,  Proactivity ,  Critical thinking ,  Team Player ,  Leadership and management skills ,  Polish (C2),  English (C1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours ,  Some travel involved "
 Endava ,  GCP Data Engineer ," Data ,  GCP ", Senior , 17 000  – 24 000 ," GCP ,  CI ,  CD ,  MLOps ,  SQL ,  Python ,  SAS ,  Apache Airflow ,  Spark ,  NoSQL ,  Looker ,  Power BI ,  Tableau ,  Git ,  Jenkins ,  CircleCI ,  GitLab ,  Docker ,  Kubernetes ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote days: flexible in a week "
 Orca Security , Senior Python Engineer (Data Platform) ," Data ,  Python ", Senior , 21 623  – 28 110 ," Python ,  K8s ,  Kafka ,  AWS ,  Snowflake ,  English (B1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote "
 AVENGA , Analityk Biznesowo-Systemowy , Business Analysis ," Mid, Senior ", 22 360  – 24 360 ," UML ,  BPMN ,  English (B1),  Polish "," Start ASAP ,  Permanent contract ,  Remote for 4 days a week "
 GFT Poland , Oracle Senior/Lead Developer ," Data ,  Oracle "," Senior, Expert ", 21 840  – 32 760 ," Oracle database ,  PL/SQL ,  SQL ,  DBA skills ,  GIT/SVN ,  English "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Some travel involved "
 AVENGA , Business Analyst with NetSuite ERP , Business Analysis ," Mid, Senior ", 25 200  – 30 250 ," NetSuite ,  UAT ,  Jira ,  Confluence ,  Polish ,  English "," Start ASAP ,  Permanent contract ,  Fully remote "
 Leroy Merlin Polska , Analityk Danych / Data Scientist , Business Intelligence ," Mid, Senior ", 11 600  – 17 300 ," Python ,  SQL ,  Polish "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote for 2 days a week "
 Dun & Bradstreet , Business Analyst  , Business Analysis , Mid , 11 000  – 17 000 , English ," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 Dentons , Senior Business Analyst - FinSys project , Business Analysis ," Mid, Senior ", 15 000  – 25 000 ," Business analysis ,  English (C1)"," Online recruitment ,  Start ASAP ,  Contract for 1 years ,  Fully remote ,  Flexible hours "
 Dentons , Portfolio Analyst , Business Analysis , Mid , 11 000  – 14 000 ," PM ,  Azure DevOps ,  Jira ,  SharePoint ,  English (C1)"," Online recruitment ,  Start ASAP ,  Contract for 1 year ,  Fully remote ,  Flexible hours "
 Cognitum Services SA , IoT Engineer (Python) ," Data ,  Python "," Mid, Senior ", 18 480  – 29 570 ," Python ,  IoT ,  Polish (C2),  English (A2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 GFT Poland , Lead Business Analyst  , Business Analysis , Expert , 24 360  – 33 600 ," Business analysis ,  Core Banking ,  Digital Banking ,  Payments ,  Cards solutions ,  English "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote "
 C.H. Robinson , Business Analyst , Business Analysis ," Mid, Senior ", 16 000  – 19 000 ," Business analysis ,  Agile ,  MS Office ,  Visio ,  Product development ,  English (C1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote days: flexible in a week ,  Flexible hours "
 GetInData , Mid/Senior Data Engineer ," Data ,  Java "," Mid, Senior ", 20 160  – 33 600 ," Python ,  Kubernetes ,  Java ,  Scala ,  Apache Flink ,  GCP ,  Polish ,  English "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours ,  No travel involved "
" Raiffeisen Bank International AG, Oddział w Polsce ", Big Data Engineer ," Data ,  Python "," Mid, Senior ", 20 000  – 30 000 ," Python ,  Big Data ,  Git ,  Spark ,  Scala ,  PySpark ,  SQL ,  English "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote "
 B2B Soft , Remote Business  / System   Analyst , Business Analysis ," Mid, Senior ", 19 461  – 25 948 ," SQL ,  Business analysis ,  System analysis ,  UX ,  UI ,  REST API ,  SOAP ,  API ,  English (B2)"," Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 Tesco Technology , Software Development Engineer III – Data ," Data ,  Hadoop ", Senior , 26 000  – 40 000 ," Hadoop ,  Spark ,  PySpark ,  Hive ,  HBase ,  Phoenix ,  SQL ,  NoSQL ,  HDFS ,  Big Data ,  ML ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote for 3 days a week "
 Tesco Technology , Software Development Engineer II - Data  ," Data ,  Hadoop ", Senior , 20 000  – 30 000 ," Hive ,  Hadoop ,  Scala ,  Kafka ,  Kubernetes ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote for 3 days a week "
 AVENGA , Senior Data Scientist , Data , Senior , 26 880  – 30 240 ," Python ,  SQL ,  Azure ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 ING BANK ŚLĄSKI SPÓŁKA AKCYJNA , Analityk Systemowo-Biznesowy , Business Analysis , Mid , 12 000  – 22 000 ," UML ,  BPMN ,  Polish ,  English "," Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 LeoVegas , Web Analyst , Business Analysis , Mid , 16 000  – 20 000 ," SQL ,  Google Analytics ,  Hotjar ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote days: flexible in a week ,  Flexible hours ,  Some travel involved "
 Britenet , IT Data Analyst /Tableau Developer , Business Intelligence , Senior , 15 120  – 18 480 ," SQL ,  Tableau ,  ETL ,  English (C1)"," Start ASAP ,  Permanent contract ,  Remote for 3 days a week "
 Connectis_ , Junior BI Developer , Business Intelligence , Junior , 17 000  – 20 000 ," REST API ,  API ,  BI ,  SQL Server ,  SSIS ,  SSAS ,  SSRS ,  Power BI ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote for 2 days a week "
 Idego Group Sp. z o.o. , Data Architect , Business Intelligence , Senior , 25 000  – 35 000 ," SQL ,  AWS ,  Azure ,  Power BI ,  Azure Data ,  DAX ,  dbt ,  Confluence ,  Glue ,  SAP ,  Fivetran ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 Sigma IT Poland , Senior Data Engineer (Kafka) ," Data ,  Python ", Senior , 23 500  – 28 500 ," Python ,  SQL ,  AWS ,  Kafka ,  English "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 Mindbox S.A. , Data Engineer w/ DevOps ," Data ,  SQL "," Mid, Senior ", 27 300  – 32 550 ," SQL ,  T-SQL ,  GCP ,  Google Cloud Platform ,  ETL ,  Jira ,  Confluence ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote days: flexible in a week ,  Flexible hours "
 Sigma IT Poland , Data Engineer with Python ," Data ,  Python "," Mid, Senior ", 22 000  – 26 880 ," Python ,  Apache Spark ,  AWS ,  GCP ,  Azure ,  ETL ,  Linux ,  Shell ,  Bash ,  English "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 Lingaro , Cloud/ Data Lake Engineer , Business Intelligence ," Mid, Senior ", 20 160  – 28 560 ," AWS ,  Snowflake ,  DBT ,  Airflow ,  Jenkins ,  Docker ,  Python ,  SQL ,  ETL ,  CI/CD ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 hubQuest , Data Engineer ," Data ,  Python ", Mid , 20 000  – 28 500 ," Python ,  ETL ,  Spark ,  RDBMS ,  PySpark ,  SQL ,  OOP ,  Python and/or Scala ,  English (C1),  Polish (C1)"," Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours ,  No travel involved ,  Mainly new features "
 Sunscrapers , Remote Senior Data Engineer II ," Data ,  Python ", Senior , 30 000  – 42 000 ," Python ,  DevOps ,  SQL ,  Linux ,  ETL ,  Airflow ,  AWS ,  Glue ,  AWS Lambda ,  Docker ,  English ,  Polish "," Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours ,  No travel involved ,  Mainly new features "
 EPAM , Senior Big Data Developer ," Data ,  Hadoop ", Senior , 21 100  – 24 100 ," HDFS ,  YARN ,  Databricks ,  Amazon Web Services ,  Oozie ,  Spark ,  Hadoop ,  Azure ,  AWS ,  Google Cloud Platform ,  Cloudera (or any other) HADOOP distribution ,  Java or Scala or Python ,  Java ,  Python ,  Kafka ,  Problem solving ,  Communication skills ,  Team player ,  Critical thinking ,  Scala ,  Yarn ,  Airflow ,  Cloudera ,  Polish ,  English "," Start ASAP ,  Permanent contract ,  Remote days: flexible in a week ,  Flexible hours ,  No travel involved "
 Sigma IT Poland , Junior/Mid Data Engineer (Biotech) ," Data ,  Python ", Mid , 18 000  – 25 000 ," Python ,  SQL ,  AWS ,  English "," Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 Altimetrik Poland , Data Scientist , Data , Senior , 20 000  – 26 000 ," Machine Learning ,  Python ,  pandas ,  scikit-learn ,  statsmodels ,  SQL ,  time-series prediction ,  linear regression ,  English ,  Polish "," Start ASAP ,  Permanent contract ,  Fully remote "
 BNY Mellon , Model Development Specialist , Business Analysis , Junior , 8 000  – 10 000 ," Java ,  C ,  C++ ,  C# ,  Python ,  VBA ,  MATLAB ,  SQL ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote for 3 days a week ,  Flexible hours ,  No travel involved "
 Sollers Consulting , Business Analyst , Business Analysis , Junior , 7 300  – 11 200 ," Business analysis ,  English "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote days: flexible in a week ,  Some travel involved "
 AVENGA , Big Data Developer ," Data ,  Python "," Senior, Expert ", 30 000  – 40 000 ," Big Data ,  Hadoop ,  Spark ,  Python ,  PySpark ,  pandas ,  English (B2)"," Start ASAP ,  Permanent contract ,  Remote for 3 days a week "
 SEB (Skandinaviska Enskilda Banken) , Senior Cloud Data Engineer ," Data ,  Python ", Senior , 25 000  – 33 000 ," Python ,  SQL ,  Git ,  Google Cloud Platform ,  BigQuery ,  PUB ,  Terraform ,  English (C1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote for 2 days a week ,  Fixed working hours "
 Avanade Poland , DataBricks Engineer ," Data ,  Spark "," Mid, Senior ", 16 800  – 26 880 ," Azure ,  Python ,  SQL ,  Databricks ,  PySpark ,  T-SQL ,  Azure SQL ,  Spark ,  Azure Databricks ,  Azure Data Factory ,  Data engineering ,  English (B2),  Polish (B2)"," Online recruitment ,  Start on 2023-03-01 ,  Permanent contract ,  Remote for 1 day a week ,  Fixed working hours ,  Some travel involved ,  Mainly new features "
 Divante S.A. , Business Analyst , Business Analysis , Mid , 10 080  – 16 800 ," ecommerce ,  agile ,  scrum ,  English ,  Polish "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours ,  No travel involved "
 RemoDevs , Remote Senior Data Engineer ," Data ,  Python ", Senior , 37 480  – 49 192 ," ETL ,  Python ,  Airflow ,  AWS ,  GIT ,  SQL ,  Snowflake ,  Hadoop ,  Machine Learning ,  Docker ,  Kubernetes ,  AWS S3 ,  Amazon EKS ,  CI/CD ,  Scalable storage (S3, BLob, HDFS) ,  Git ,  Linux ,  Power BI ,  Tableau ,  English (C1)"," Start ASAP ,  Permanent contract ,  Fully remote ,  No travel involved ,  Mainly new features "
 Sii Polska , Business Analyst , Business Analysis , Senior , 19 950  – 24 150 ," BPMN ,  UML ,  Jira ,  Confluence ,  English ,  Polish "," Start ASAP ,  Permanent contract ,  Fully remote "
 apreel Sp. z o.o. , Analityk Systemowy  , Business Analysis ," Mid, Senior ", 21 840  – 26 880 ," UML ,  BPMN ,  MS SQL ,  PostgreSQL ,  SAML ,  API ,  GitLab ,  Polish (NATIVE),  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote for 4 days a week ,  Flexible hours "
