Company Name,Job Position,Category,Seniority,Salary,Posting Requirements,Job Details
 OEConnection , Junior Business Intelligence Engineer , Business Intelligence , Junior , 6 500  – 10 000 ," SQL ,  Power BI ,  English (C1),  Polish (C1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote for 4 days a week ,  Flexible hours ,  No travel involved "
 Tameshi Investment Sp. z o.o. , Analityk Systemowo - Biznesowy , Business Analysis , Mid , 14 000  – 22 000 ," ITIL ,  BPMN ,  Excel ,  English (C1),  Polish (C1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 PREDICTX , Junior Analyst (15-23) , Business Analysis , Junior , 6 000  – 9 000 ," SQL ,  Excel ,  Business analysis ,  Problem solving ,  English "," Start ASAP ,  Permanent contract ,  Remote for 3 days a week ,  Fixed working hours ,  Some travel involved "
 HyLogic , Junior IT Consultant , Business Analysis ," Trainee, Junior ", 7 000  – 10 000 , English ," Start ASAP ,  Permanent contract ,  Remote days: flexible in a week ,  Flexible hours ,  No travel involved ,  Free parking space "
 PredictX , Junior Business Analyst , Business Analysis , Junior , 6 000  – 9 000 ," SQL ,  Excel ,  Business analysis ,  Problem solving ,  Polish ,  English "," Start ASAP ,  Permanent contract ,  Remote days: flexible in a week ,  Flexible hours ,  Some travel involved "
 Green Minds Sp.z o.o. , ETL Developer/ Konsultant , Business Intelligence , Junior , 10 080  – 12 000 ," ETL ,  SQL ,  Communication skills ,  Problem solving ,  Polish ,  English "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  No travel involved "
 Green Minds Sp.z o.o. , Junior ETL / SQL Developer ," Data ,  SQL ", Junior , 10 080  – 12 000 ," SQL ,  MySQL ,  ETL ,  Problem solving ,  Communication skills ,  Polish ,  English "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  No travel involved "
 Green Minds Sp.z o.o. , Junior IT Analyst , Business Analysis , Junior , 10 080  – 11 928 ," UML ,  BPMN ,  Enterprise Architect ,  System analysis ,  Business analysis ,  English ,  Polish "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote for 3 days a week ,  No travel involved "
 Documati , Junior Data Engineer ,,,,,
 Polskie Technologie , Analityk / Specjalista ds. Raportowania , Business Intelligence , Junior , 5 000  – 10 000 ," SQL ,  SQL Server ,  ETL ,  Polish "," Online recruitment ,  Start ASAP ,  Permanent contract ,  COVID-time remotely ,  Flexible hours ,  No travel involved "
 Polskie Technologie , Analityk / Specjalista ds. Raportowania , Business Intelligence , Junior , 5 000  – 10 000 ," SQL ,  SQL Server ,  ETL ,  Polish "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote days: flexible in a week ,  Flexible hours ,  No travel involved "
 Fox & Wolf HR Solutions Kft. , Business Intelligence Specialist , Business Intelligence ," Mid, Senior ", 12 308  – 14 769 ," DDL ,  DML ,  DWH ,  Power BI ,  T-SQL ,  ETL ,  Microsoft SQL Server ,  C# ,  English (B2)"," Start ASAP ,  Permanent contract ,  Remote days: flexible in a week "
 Instructure Hungary Kft , Senior Data Pipeline Engineer ," Data ,  Java "," Senior, Expert ", 18 462  – 24 616 ," Data engineering ,  Cloud ,  Data pipelines ,  English "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote days: flexible in a week ,  Flexible hours "
 United Consult Zrt. , Senior Data Engineer ," Data ,  Python ", Senior , 14 769  – 24 616 ," Python ,  SQL ,  Data engineering ,  ETL ,  Azure ,  Hungarian (NATIVE),  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote for 2 days a week ,  Flexible hours ,  No travel involved "
 IDEMIA , MS Power BI Specialist (Azure) , Business Intelligence , Mid , 11 077  – 12 308 ," Business Intelligence ,  Analytics ,  SQL Azure ,  English (C1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote days: flexible in a week ,  Flexible hours "
 Ulyssys Kft. , IT Business Analyst , Business Analysis , Mid , 8 000  – 9 846 ," Business analysis ,  Testing ,  Hungarian "," Start ASAP ,  Permanent contract ,  Remote for 2 days a week "
 DPDgroup IT Solutions Hungary Kft. , IT Business Analyst , Business Analysis , Mid , 8 615  – 11 077 ," Jira ,  Confluence ,  English (B2)"," Start ASAP ,  Permanent contract ,  Remote for 3 days a week "
 MindFly Technologies Kft. , Requirements Engineer OnSite/Remote , Business Analysis , Mid , 18 480  – 28 896 ," System analysis ,  Business analysis ,  UML ,  Hungarian ,  German "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote days: flexible in a week ,  Flexible hours ,  Some travel involved "
